,Budget,Countries,Counts,Downloads,IMDB_ID,Ratings,Titles
15221,NaN,[USA],1,242,tt0034922,6.7,Journey Into Fear (1943)
15222,NaN,[USA],1,984,tt0403336,6.8,Mysteries of Easter Island (TV Movie 2002)
15223,NaN,[USA],3,1503,tt0071970,7.3,The Parallax View (1974)
15224,NaN,"[USA, Yugoslavia, Liechtenstein]",1,225,tt0071973,6.2,Tactical Guerilla (1974)
15225,NaN,[USA],1,718,tt1338590,6.4,Expecting a Miracle (TV Movie 2009)
15226,"$150,000,000",[USA],10,20392,tt0780653,5.8,The Wolfman (2010)
15227,NaN,[Japan],1,59,tt1160629,7.5,Yôgisha X no kenshin (2008)
15228,NaN,[Hungary],1,156,tt1090185,,Barbárok (TV Movie 1989)
15229,NaN,[Hungary],1,187,tt0032565,5.9,Gyurkovics fiúk (1941)
15230,NaN,[Hungary],1,1089,tt0032562,7.5,Gül Baba (1940)
15231,NaN,[Hungary],1,368,tt0240476,6.1,Egér a palotában (1943)
15232,NaN,[USA],2,1107,tt0087385,4.7,Hardbodies (1984)
15233,"$1,500,000","[Israel, France, Germany, USA, Finland, Switzerland, Belgium, Australia]",2,1959,tt1185616,8.0,Waltz with Bashir (2008)
15234,NaN,[Poland],1,959,tt0238119,7.7,Chlopaki nie placza (2000)
15235,NaN,[New Zealand],3,1356,tt0779982,5.8,Black Sheep (2006)
15236,"$3,200,000","[USA, Romania]",1,1181,tt0336325,4.7,Dracula II: Ascension (Video 2003)
15237,NaN,[USA],2,4039,tt0078767,6.2,The Amityville Horror (1979)
15238,"$12,000,000","[USA, Soviet Union]",1,1193,tt0074225,5.4,The Blue Bird (1976)
15239,NaN,"[West Germany, Hungary]",1,580,tt0079412,6.9,Koportos (1980)
15240,NaN,[Canada],1,675,tt1286159,7.2,1981 (2009)
15241,NaN,[USA],4,4123,tt0079417,7.8,Kramer vs. Kramer (1979)
15242,NaN,"[France, UK]",2,2090,tt0161010,6.1,The Trench (1999)
15243,NaN,[USA],1,1111,tt1286157,7.1,The Lost Pyramid (TV Movie 2008)
15244,NaN,[UK],1,259,tt0171865,7.2,Wonderland (1999)
15245,"$900,000",[USA],2,2197,tt0414951,6.5,The Quiet (2005)
15246,NaN,[USA],1,1009,tt0021646,7.4,Beau Hunks (1931)
15247,"$42,000,000",[USA],12,161066,tt1568338,6.6,Man on a Ledge (2012)
15248,"$1,200,000","[Poland, France]",1,397,tt1994537,6.3,Kret (2011)
15249,NaN,[USA],5,937,tt2012011,6.6,Scenic Route (2013)
15250,NaN,"[USA, UK]",1,248,tt0352520,7.0,The Life and Death of Peter Sellers (2004)
15251,NaN,[France],1,126,tt0408203,5.0,Le souffleur (2005)
15252,"$30,000,000","[USA, Germany]",8,7391,tt0372588,7.2,Team America: World Police (2004)
15253,NaN,[USA],1,752,tt0275849,8.4,Mad Jack the Pirate (TV Series 1998–1999)
15254,"$80,000,000",[USA],7,11001,tt0275847,7.1,Lilo & Stitch (2002)
15255,NaN,[USA],2,3745,tt0166792,7.6,Scooby-Doo on Zombie Island (Video 1998)
15256,"$22,000,000","[UK, USA]",1,449,tt0452573,6.7,The Triangle (TV Mini-Series 2005)
15257,NaN,[USA],1,784,tt1139111,5.6,The Land Before Time XIII: The Wisdom of Friends (Video 2007)
15258,NaN,[UK],1,183,tt0040338,7.9,The Fallen Idol (1948)
