ID,Category,genre
1487768,Pop,pop
1487768,rock,rock
1487768,Pop,synthpop
1487768,Pop,europop
1487767,Pop,pop
1487767,rock,rock
1487767,Pop,synthpop
1487767,Pop,europop
1487753,Pop,pop
1487753,rock,rock
1487753,Pop,synthpop
1487753,Pop,europop
1487743,Pop,pop
1487743,rock,rock
1487743,Pop,synthpop
1487743,Pop,europop
1487742,Pop,pop
1487742,rock,rock
1487742,Pop,synthpop
1487742,Pop,europop
1487741,Pop,pop
1487741,rock,rock
1487741,Pop,synthpop
1487741,Pop,europop
1487738,Pop,pop
1487738,rock,rock
1487738,Pop,synthpop
1487738,Pop,europop
1487737,Pop,pop
1487737,rock,rock
1487737,Pop,synthpop
1487737,Pop,europop
1487728,Pop,pop
1487728,rock,rock
1487728,Pop,synthpop
1487728,Pop,europop
1487726,Pop,pop
1487726,rock,rock
1487726,Pop,synthpop
1487726,Pop,europop
1487722,Electronic,chillout/ambient
1487722,Electronic,chillout/ambient
1487722,Electronic,trance/techno
1487722,Electronic,chillout/ambient
1487722,Electronic,dubstep
1487707,Electronic,psychedelic/acid/goa
1487707,Electronic,psychedelic/acid/goa
1487701,Electronic,psychedelic/acid/goa
1487701,rock,rock
1487701,Electronic,trance/techno
1487700,Electronic,psychedelic/acid/goa
1487700,rock,rock
1487700,Electronic,trance/techno
1487694,Electronic,psychedelic/acid/goa
1487694,rock,rock
1487694,Electronic,trance/techno
1487681,Electronic,psychedelic/acid/goa
1487681,rock,rock
1487681,Electronic,trance/techno
1487678,Electronic,psychedelic/acid/goa
1487678,Electronic,psychedelic/acid/goa
1487673,Electronic,psychedelic/acid/goa
1487673,Electronic,psychedelic/acid/goa
1487673,rock,rock
1487673,Electronic,trance/techno
1487647,rock,hardcore
1487535,rock,rock
1487532,Other,folk
1487532,rock,rock
1487531,rock,rock
1487519,Electronic,house
1487500,Pop,pop
1487500,Other,folk
1487498,rock,dark-rock
1487498,rock,dark-rock
1487487,Electronic,trance/techno
1487487,Pop,europop
1487487,Electronic,house
1487487,Pop,dance
1487482,Electronic,drum'n'bass
1487482,Electronic,drum'n'bass
1487482,Electronic,electronic
1487480,rock,dark-rock
1487480,rock,dark-rock
1487479,Pop,dance
1487479,Pop,dicso
1487479,Electronic,electronic
1487469,Pop,indie
1487469,rock,rock
1487467,Other,jazz
1487467,Pop,pop
1487466,Electronic,trance/techno
1487465,Electronic,trance/techno
1487464,Electronic,trance/techno
1487463,Electronic,trance/techno
1487462,Hip-hop,hip-hop
1487462,Hip-hop,hip-hop
1487461,rock,dark-rock
1487461,rock,dark-rock
1487458,Other,country
1487448,Other,ost
1487442,rock,rock
1487442,Pop,pop
1487442,rock,rock
1487414,Electronic,dubstep
1487414,Electronic,dubstep
1487414,Electronic,trance/techno
1487411,Electronic,trance/techno
1487409,Electronic,drum'n'bass
1487409,Electronic,drum'n'bass
1487408,Electronic,trance/techno
1487408,Electronic,chillout/ambient
1487405,Other,ost
1487402,rock,rock
1487402,rock,rock
1487402,rock,rock'n'roll
1487399,Electronic,chillout/ambient
1487399,Electronic,chillout/ambient
1487397,rock,alternative
1487397,rock,rock
1487395,Electronic,trance/techno
1487392,Electronic,house
1487383,Pop,pop
1487376,rock,hardcore
1487376,rock,dark-rock
1487375,Pop,dance
1487375,Electronic,electronic
1487373,Electronic,house
1487372,Electronic,house
1487371,Electronic,trance/techno
1487365,Other,blues
1487365,rock,rock
1487364,Electronic,house
1487359,Other,ost
1487353,Electronic,house
1487318,Other,ost
1487311,Electronic,electronic
1487311,Pop,pop
1487311,Pop,synthpop
1487306,Electronic,drum'n'bass
1487306,Electronic,drum'n'bass
1487303,Hip-hop,hip-hop
1487303,Hip-hop,hip-hop
1487296,rock,rock
1487284,Electronic,dubstep
1487284,Electronic,trance/techno
1487284,Electronic,chillout/ambient
1487284,Electronic,trance/techno
1487281,Electronic,chillout/ambient
1487281,Electronic,dubstep
1487281,Electronic,trance/techno
1487281,Electronic,trance/techno
1487281,Electronic,trance/techno
1487271,rock,dark-metal
1487271,rock,dark-rock
1487266,rock,dark-rock
1487266,rock,dark-rock
1487259,rock,rock
1487259,rock,dark-rock
1487255,rock,hardcore
1487255,rock,punk
1487241,rock,hardcore
1487241,rock,rock
1487236,rock,dark-metal
1487236,rock,dark-rock
1487236,rock,dark-rock
1487223,Electronic,chillout/ambient
1487222,Pop,dance
1487215,Pop,indie
1487214,Pop,indie
1487213,Electronic,house
1487201,Electronic,house
1487196,Electronic,trance/techno
1487188,Electronic,electronic
1487188,Electronic,trance/techno
1487188,Electronic,house
1487176,Electronic,psychedelic/acid/goa
1487175,Pop,pop
1487174,Hip-hop,funk
1487173,Electronic,trance/techno
1487172,rock,rock
1487169,Electronic,trance/techno
1487169,Pop,europop
1487169,Electronic,house
