TorrentID,Genre
1488363,house
1488355,ambient
1488354,pop
1488353,house
1488351,Ambient
1488350,house
1488349,house
1488311,alternative
1488309,rhythm
1488309,and
1488309,blues
1488309,soul
1488308,drum
1488308,and
1488308,bass
1488307,rhythm
1488307,and
1488307,blues
1488307,soul
1488298,progressive
1488298,rock
1488294,acid
1488294,jazz
1488294,funk
1488292,acid
1488292,jazz
1488292,funk
1488289,italo
1488289,disco
1488289,europop
1488284,trance
1488283,trance
1488282,trance
1488273,industrial
1488270,house
1488270,dance
1488270,electronic
1488261,ChillOut
1488261,relaxing
1488259,melodic
1488259,metalcore
1488255,Trance
1488254,techno
1488242,Trance
1488241,techno
1488237,Trance
1488233,techno
1488232,comedy
1488232,kabar%C3%A9
1488231,groove
1488231,thrash
1488231,metal
1488230,techno
1488226,techno
1488221,techno
1488204,techno
1488202,psychedelic
1488202,progressive
1488202,trance
1488200,space
1488200,rock
1488195,techno
1488187,techno
1488185,psytrance
1488179,techno
1488172,trance
1488172,progresive
1488171,techno
1488169,blues
1488169,rock
1488167,Trance
1488166,hangosk%C3%B6nyv
1488166,vers
1488166,dal
1488162,hard
1488162,rock
1488159,psychobilly
1488125,deathcore
1488125,death
1488125,metal
1488124,Trance
1488122,international
1488118,melodic
1488118,death
1488118,metal
1488105,Trance
1488096,christian
1488096,doom
1488096,thrash
1488096,metal
1488090,techno
1488087,techno
1488086,electronic
1488086,house
1488086,tech
1488086,house
1488086,techno
1488069,Electronic
1488068,house
1488051,Ambient
1488051,Experimental
1488051,Minimal
1488051,Modern
1488051,Techno
1488041,jazz
1488041,24bit
1488041,192khz
1488041,hdtracks
1488018,world
1488018,music
1488018,caribbean
1488010,industrial
1488010,metal
1488006,jazz
1488005,punk
1488005,hardcore
1488003,punk
1488003,hardcore
1487995,alternative
1487995,rock
1487995,pop
1487995,punk
1487993,techno
1487992,house
1487992,tech
1487992,house
1487991,house
1487991,deep
1487991,house
1487991,tech
1487991,house
1487990,techno
1487989,house
1487989,tech
1487989,house
1487988,house
1487988,tech
1487988,house
1487987,house
1487986,house
1487986,deep
1487986,house
1487985,techno
1487984,house
1487983,house
1487983,deep
1487983,house
1487982,house
1487982,tech
1487982,house
1487981,house
1487980,house
1487980,tech
1487980,house
1487979,house
1487979,tech
1487979,house
1487978,house
1487978,tech
1487978,house
1487977,house
1487977,tech
1487977,house
1487976,house
1487975,techno
1487974,house
1487974,deep
1487974,house
1487974,tech
1487974,house
1487973,house
1487973,progressive
1487973,house
1487972,house
1487972,tech
1487972,house
1487971,house
1487970,house
1487970,tech
1487970,house
1487969,techno
1487968,house
1487968,tech
1487968,house
1487967,house
1487967,deep
1487967,house
1487967,indie
1487967,dance
1487967,nu
1487967,disco
1487966,house
1487966,tech
1487966,house
1487965,house
1487965,tech
1487965,house
1487964,house
1487964,deep
1487964,house
1487963,house
1487963,deep
1487963,house
1487962,house
1487962,tech
1487962,house
1487961,house
1487961,deep
1487961,house
1487960,house
1487960,tech
1487960,house
1487959,techno
1487958,house
1487958,tech
1487958,house
1487957,techno
1487956,techno
1487956,tech
1487956,house
1487955,house
1487955,deep
1487955,house
1487955,tech
1487955,house
1487954,house
1487954,tech
1487954,house
1487943,house
1487942,house
1487941,house
1487940,techno
1487939,house
1487938,house
1487937,techno
1487936,house
1487935,techno
1487916,oi
1487909,blues
1487893,house
1487892,trance
1487891,trance
1487885,soundtrack
1487883,hardcore
1487883,electronic
1487880,live
1487871,Smoothjazz
1487868,house
1487867,Smoothjazz
1487864,rock
1487864,melodic
1487864,hard
1487864,rock
1487863,jazz
1487863,24bit
1487863,96khz
1487863,hdtracks
1487862,90s
1487862,euro
1487862,house
1487862,dancefloor
1487862,megamix
1487859,trance
1487858,trance
1487857,trance
1487856,trance
1487849,house
1487848,trance
1487847,trance
1487843,jazz
1487842,trance
1487841,trance
1487840,trance
1487839,Eurodance
1487834,trance
1487821,Smoothjazz
1487819,blues
1487819,rock
1487785,Smoothjazz
1487768,Pop
1487768,Rock
1487768,Synthpop
1487768,Eurodisco
1487767,Pop
1487767,Rock
1487767,Synthpop
1487767,Eurodisco
1487753,Pop
1487753,Rock
1487753,Synthpop
1487753,Eurodisco
1487743,Pop
1487743,Rock
1487743,Synthpop
1487743,Eurodisco
1487742,Pop
1487742,Rock
1487742,Synthpop
1487742,Eurodisco
1487741,Pop
1487741,Rock
1487741,Synthpop
1487741,Eurodisco
1487738,Pop
1487738,Rock
1487738,Synthpop
1487738,Eurodisco
1487737,Pop
1487737,Rock
1487737,Synthpop
1487737,Eurodisco
1487728,Pop
1487728,Rock
1487728,Synthpop
1487728,Eurodisco
1487726,Pop
1487726,Rock
1487726,Synthpop
1487726,Eurodisco
1487722,ambient
1487722,downtempo
1487722,idm
1487722,psychill
1487722,dub
1487707,psychedelic
1487707,psytrance
1487701,psychedelic
1487701,progressive
1487701,trance
1487700,psychedelic
1487700,progressive
1487700,trance
1487694,psychedelic
1487694,progressive
1487694,trance
1487681,psychedelic
1487681,progressive
1487681,trance
1487678,psychedelic
1487678,psytrance
1487673,psytrance
1487673,psychedelic
1487673,progressive
1487673,trance
1487647,hardcore
1487535,rock
1487532,Folk
1487532,Rock
1487531,rock
1487519,house
1487500,pop
1487500,folk
1487498,Melodic
1487498,Death
1487498,Metal
1487487,Trance
1487487,Euro
1487487,House
1487487,Dance
1487482,drum
1487482,and
1487482,bass
1487482,electronic
1487480,epic
1487480,heavy
1487480,metal
1487479,dance
1487479,disco
1487479,electronic
1487469,indie
1487469,rock
1487467,vocal
1487467,jazz
1487467,pop
1487466,trance
1487465,trance
1487464,trance
1487463,trance
1487462,hip
1487462,hop
1487461,brutal
1487461,death
1487461,metal
1487458,country
1487448,ost
1487442,rock
1487442,pop
1487442,rock
1487414,Dub
1487414,Dub
1487414,Techno
1487411,techno
1487409,drum
1487409,and
1487409,bass
1487408,IDM
